"ISSN","ISSN_L","ISSN_IN_DOAJ","ISSN_IN_ROAD","ISSN_IN_PMC","ISSN_IN_OAPC","ISSN_IN_WOS","ISSN_IN_SCOPUS","JOURNAL_IN_DOAJ","JOURNAL_IN_ROAD","JOURNAL_IN_PMC","JOURNAL_IN_OAPC","JOURNAL_IN_WOS","JOURNAL_IN_SCOPUS","TITLE","TITLE_SOURCE"
"2495-6163","2495-6163",0,1,0,0,0,0,0,1,0,0,0,0,"TEPSIS papers.","ROAD"
"2495-6201","2495-6201",0,1,0,0,0,0,0,1,0,0,0,0,"Histoire culturelle de la danse.","ROAD"
"2495-6414","2495-6414",0,1,0,0,0,0,0,1,0,0,0,0,"Cognition et numérique.","ROAD"
"2495-6872","2495-6872",0,1,0,0,0,0,0,1,0,0,0,0,"Carnets d'accidentologie.","ROAD"
"2495-7100","2495-7100",0,1,0,0,0,0,0,1,0,0,0,0,"AntiAtlas journal.","ROAD"
"2495-8166","2495-8166",0,1,0,0,0,0,0,1,0,0,0,0,"Enseignement de la langue berbère.","ROAD"
"2495-8271","2495-8271",0,1,0,0,0,0,0,1,0,0,0,0,"ALHIM Paris 8.","ROAD"
"2495-9243","2495-9243",0,1,0,0,0,0,0,1,0,0,0,0,"Brest-Mar del Plata.","ROAD"
"2495-9294","2495-9294",0,1,0,0,0,0,0,1,0,0,0,0,"Corrigenda probiori gnaritati.","ROAD"
"2496-0063","2496-0063",0,1,0,0,0,0,0,1,0,0,0,0,"Séminaire des doctorants d'AnHiMA.","ROAD"
"2496-0144","2496-0144",0,1,0,0,0,0,0,1,0,0,0,0,"Aviso +.","ROAD"
"2496-1345","2496-1345",0,1,0,0,0,0,0,1,0,0,0,0,"Marginalia.","ROAD"
"2496-1981","2496-1981",0,1,0,0,0,0,0,1,0,0,0,0,"Les Cahiers du CIRLEP.","ROAD"
"2496-2244","2496-2244",0,1,0,0,0,0,0,1,0,0,0,0,"SELF XX-XXI.","ROAD"
"2496-3143","2496-3143",0,1,0,0,0,0,0,1,0,0,0,0,"BRICS et économies émergentes.","ROAD"
"2496-4395","2496-4395",0,1,0,0,0,0,0,1,0,0,0,0,"Économie du document.","ROAD"
"2496-4581","2496-4581",0,1,0,0,0,0,0,1,0,0,0,0,"Carnet d'ADRESS.","ROAD"
"2496-6770","2496-6770",0,1,0,0,0,0,0,1,0,0,0,0,"Bloc-notes lorrain.","ROAD"
"2496-686X","2496-686X",0,1,0,0,0,0,0,1,0,0,0,0,"ArchéoEnv.","ROAD"
"2496-8242","2496-8242",0,1,0,0,0,0,0,1,0,0,0,0,"Les Carnets du RhÉIC.","ROAD"
"2496-9389","2496-9389",0,1,0,0,0,0,0,1,0,0,0,0,"All that jazz!.","ROAD"
"2497-1464","2497-1464",0,1,0,0,0,0,0,1,0,0,0,0,"Carnet néocartographique.","ROAD"
"2497-2002","2497-2002",0,1,0,0,0,0,0,1,0,0,0,0,"Analyse du discours numérique.","ROAD"
"2497-6016","2497-6016",0,1,0,0,0,0,0,1,0,0,0,0,"Seine-Saint-Denis.","ROAD"
"2498-0439","2498-0439",0,1,0,0,0,0,0,1,0,0,0,0,"Virgins, wives, mothers.","ROAD"
"2498-7190","2498-7190",0,1,0,0,0,0,0,1,0,0,0,0,"Közjavak az MTA-DE Közszolgáltatási Kutatócsoport tudományos folyóirata","ROAD"
"2499-8923","2499-8923",0,1,0,0,0,0,0,1,0,0,0,0,"Peloro.","ROAD"
"2499-9857","2499-9857",0,1,0,0,0,0,0,1,0,0,0,0,"Arhjort.","ROAD"
"2499-9954","1997-7689",0,1,0,0,0,0,0,1,0,0,0,0,"Medicinskij alʹmanah.","ROAD"
"2500-0136","1819-9496",0,1,0,0,0,0,0,1,0,0,0,0,"Sibirskoe medicinskoe obozrenie.","ROAD"
"2500-2813","1818-510X",0,1,0,0,0,0,0,1,0,0,0,0,"Kaspijskij region: politika, èkonomika, kulʹtura.","ROAD"
"2500-3054","2500-3054",0,1,0,0,0,0,0,1,0,0,0,0,"Vestnik ATÈS.","ROAD"
"2500-3356","2500-3356",0,1,0,0,0,0,0,1,0,0,0,0,"Molodežnyj naučnyj vestnik.","ROAD"
"2500-9478","2500-9478",0,1,0,0,0,0,0,1,0,0,0,0,"Defence Strategic Communications.","ROAD"
"2501-1111","2501-1111",0,1,0,0,0,0,0,1,0,0,0,0,"European Journal of Education Studies.","ROAD"
"2501-3165","2501-1960",1,1,0,0,0,1,1,1,0,0,0,1,"Scientific Annals of Economics and Business","DOAJ"
"2502-0587","1829-8753",0,1,0,0,0,0,0,1,0,0,0,0,"An-Nur: jurnal studi Islam.","ROAD"
"2502-146X","2502-146X",0,1,0,0,0,0,0,1,0,0,0,0,"Vivid: journal of language and literature.","ROAD"
"2502-1680","2088-0561",0,1,0,0,0,0,0,1,0,0,0,0,"Teras jurnal: jurnal teknik sipil.","ROAD"
"2502-1737","2502-1737",0,1,0,0,0,0,0,1,0,0,0,0,"Jurnal Bioconcetta.","ROAD"
"2502-194X","2502-194X",0,1,0,0,0,0,0,1,0,0,0,0,"Madrasah: jurnal pendidikan dan pembelajaran dasar","ROAD"
"2502-2067","2502-2067",0,1,0,0,0,0,0,1,0,0,0,0,"IP (Indonesian Perspective)","ROAD"
"2502-2261","2502-2261",1,0,0,0,0,0,1,0,0,0,0,0,"Indonesian Language Education and Literature","DOAJ"
"2502-3640","2502-3640",1,0,0,0,0,0,1,0,0,0,0,0,"Panggung","DOAJ"
"2502-454X","2252-7001",1,0,0,0,0,0,1,0,0,0,0,0,"Educational Management","DOAJ"
"2502-4779","2502-4779",1,0,0,0,0,0,1,0,0,0,0,0,"EduChemia","DOAJ"
"2502-5783","1412-9418",0,1,0,0,0,0,1,1,0,0,0,0,"Humanika","DOAJ"
"2502-9460","1907-6762",0,1,0,0,0,0,1,1,0,0,0,0,"Media Akuakultur","DOAJ"
"2503-0876","2503-0876",1,0,0,0,0,0,1,0,0,0,0,0,"Kapata Arkeologi","DOAJ"
"2503-4227","2503-4227",1,0,0,0,0,0,1,0,0,0,0,0,"Dinika: Academic Journal of Islamic Studies","DOAJ"
"2503-4642","2338-5383",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Poetika","DOAJ"
"2503-5215","1410-900X",0,1,0,0,0,0,0,1,0,0,0,0,"Atavisme: jurnal ilmiah kajian sastra","ROAD"
"2504-0944","2504-0944",0,1,0,0,0,0,0,1,0,0,0,0,"Transfer global architecture platform.","ROAD"
"2507-7627","",1,0,0,0,0,0,1,0,0,0,0,0,"Agrobiologia","DOAJ"
"2508-4526","2508-4526",0,1,0,0,0,0,0,1,0,0,0,0,"Won-gwangbeopak (Online)","ROAD"
"2508-4895","2508-4887",0,1,0,0,0,0,0,1,0,0,0,0,"Perinatology (Online)","ROAD"
"2509-3711","2509-3711",0,1,0,0,0,0,0,1,0,0,0,0,"LEMEX research papers on entrepreneurship.","ROAD"
"2509-6958","2509-6958",0,1,0,0,0,0,0,1,0,0,0,0,"Studies in social sciences and culture.","ROAD"
"2510-1196","2510-1196",0,1,0,0,0,0,0,1,0,0,0,0,"CEPIE working paper.","ROAD"
"2510-4918","2510-5140",0,1,0,0,0,0,0,1,0,0,0,0,"GLOCON working paper series.","ROAD"
"2514-5622","2514-5622",0,1,0,0,0,0,0,1,0,0,0,0,"CSAE working paper.","ROAD"
"2518-1017","2518-1017",1,1,0,0,0,0,1,1,0,0,0,0,"Plant Varieties Studying and Protection","DOAJ"
"2518-1343","2226-2849",0,1,0,0,0,0,0,1,0,0,0,0,"Vìsnik Marìupolʹsʹkogo deržavnogo unìversitetu.","ROAD"
"2518-153X","1025-6415",0,1,0,0,0,0,0,1,0,0,0,0,"Dopovidi Nacionalʹnoï akademiï nauk Ukraïni.","ROAD"
"2518-6841","2518-6841",0,1,0,0,0,0,0,1,0,0,0,0,"KnE engineering.","ROAD"
"2518-749X","2518-7481",0,1,0,0,0,0,0,1,0,0,0,0,"UA: Ukraine analytica.","ROAD"
"2519-2310","2519-2310",0,1,0,0,0,0,0,1,0,0,0,0,"Komp’ûternì nauki ta kìberbezpeka.","ROAD"
"2519-2914","2312-394X",0,1,0,0,0,0,0,1,0,0,0,0,"Ekonomìčna strategìâ ì perspektivi rozvitku sferi torgìvlì ta poslug.","ROAD"
"2519-4437","2519-4437",0,1,0,0,0,0,0,1,0,0,0,0,"Èlektronnaâ biblioteka BGU.","ROAD"
"2519-4534","2519-4534",0,1,0,0,0,0,0,1,0,0,0,0,"Repozitorij Vitebskogo gosudarstvennogo universiteta imeni P.M. Mašerova.","ROAD"
"2519-8165","2519-8165",0,1,0,0,0,0,0,1,0,0,0,0,"Skrižali.","ROAD"
"2519-8351","2519-8351",0,1,0,0,0,0,0,1,0,0,0,0,"HUSO ....","ROAD"
"2519-8440","2519-8440",0,1,0,0,0,0,0,1,0,0,0,0,"SPWID ....","ROAD"
"2519-8483","2519-8483",0,1,0,0,0,0,0,1,0,0,0,0,"Green ....","ROAD"
"2519-8599","2519-8599",0,1,0,0,0,0,0,1,0,0,0,0,"Cyber ....","ROAD"
"2519-8661","2519-8661",0,1,0,0,0,0,0,1,0,0,0,0,"Arhìtekturnij vìsnik KNUBA.","ROAD"
"2519-8858","2519-8858",0,1,0,0,0,0,0,1,0,0,0,0,"Society, politics, administration in Central Europe.","ROAD"
"2520-2057","2520-2057",0,1,0,0,0,0,0,1,0,0,0,0,"Internauka.","ROAD"
"2520-2219","2520-2219",0,1,0,0,0,0,0,1,0,0,0,0,"Sofiâ.","ROAD"
"2520-2898","2306-4269",0,1,0,0,0,0,0,1,0,0,0,0,"Lʹvìvsʹkij klìnìčnij vìsnik.","ROAD"
"2520-3282","2520-3282",0,1,0,0,0,0,0,1,0,0,0,0,"Specialty journal of politics and law.","ROAD"
"2520-5455","2520-5455",0,1,0,0,0,0,0,1,0,0,0,0,"Informe de labores.","ROAD"
"2520-9094","2520-9094",0,1,0,0,0,0,0,1,0,0,0,0,"Simiykita.","ROAD"
"2520-9728","1018-2829",0,1,0,0,0,0,0,1,0,0,0,0,"Diálogo.","ROAD"
"2520-9736","2520-9736",0,1,0,0,0,0,0,1,0,0,0,0,"Raíces","ROAD"
"2521-2397","2521-2397",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of distance education and research.","ROAD"
"2521-3512","1683-3597",0,1,0,0,0,0,0,1,0,0,0,0,"Iraqi journal of pharmaceutical sciences.","ROAD"
"2524-0226","2524-0226",0,1,0,0,0,0,0,1,0,0,0,0,"Problemi nadzvičajnih situacìj.","ROAD"
"2524-9274","1667-2003",1,1,0,0,0,0,1,1,0,0,0,0,"Diálogos Pedagógicos","DOAJ"
"2525-5649","0102-4736",1,0,0,0,0,0,1,0,0,0,0,0,"Clio: Revista de Pesquisa Histórica","DOAJ"
"2526-2122","2526-2122",1,0,0,0,0,0,1,0,0,0,0,0,"Tecnia","DOAJ"
"2526-2130","2526-2122",1,0,0,0,0,0,1,0,0,0,0,0,"Tecnia","DOAJ"
"2527-3825","2527-3825",1,0,0,0,0,0,1,0,0,0,0,0,"Agritech","DOAJ"
"2527-6204","2442-3750",1,0,0,0,0,0,1,0,0,0,0,0,"JPBI (Jurnal Pendidikan Biologi Indonesia)","DOAJ"
"2527-8428","0854-5499",1,0,0,0,0,0,1,0,0,0,0,0,"Kanun: Jurnal Ilmu Hukum","DOAJ"
"2528-5173","2088-5350",1,0,0,0,0,0,1,0,0,0,0,0,"Premiere Educandum","DOAJ"
"2528-9691","2528-9691",1,1,0,0,0,0,1,1,0,0,0,0,"Trakya University Journal of Natural Sciences","DOAJ"
"2529-8984","2529-8984",0,1,0,0,0,0,0,1,0,0,0,0,"Cuaderno de cultura científica.","ROAD"
"2531-3924","2531-3924",0,1,0,0,0,0,0,1,0,0,0,0,"Me & Dia.","ROAD"
"2531-4130","2531-4130",0,1,0,0,0,0,0,1,0,0,0,0,"From the European South.","ROAD"
"2531-7059","2531-7059",0,1,0,0,0,0,0,1,0,0,0,0,"Vox popular.","ROAD"
"2532-0254","2532-0254",0,1,0,0,0,0,0,1,0,0,0,0,"Filosofia e politica.","ROAD"
"2534-8949","1312-5486",0,1,0,0,0,0,0,1,0,0,0,0,"Godišnik na UNSS.","ROAD"
"2534-8973","2534-8973",0,1,0,0,0,0,0,1,0,0,0,0,"Muzikalen logos.","ROAD"
"2534-9392","1311-9427",0,1,0,0,0,0,0,1,0,0,0,0,"Naučni trudove na Sʺûza na učenite - Provdiv.","ROAD"
"2534-9538","2534-952X",0,1,0,0,0,0,0,1,0,0,0,0,"Studies in Linguistics, Culture and FLT.","ROAD"
"2534-983X","1310-0351",0,1,0,0,0,0,0,1,0,0,1,1,"Bulgarian Journal of Agricultural Science.","ROAD"
"2535-0021","2535-0021",0,1,0,0,0,0,0,1,0,0,0,0,"International Scientific Congress Machines, Technologies, Materials.","ROAD"
"2535-0269","2535-0269",0,1,0,0,0,0,0,1,0,0,0,0,"International Scientific Congress Agricultural Machinery.","ROAD"
"2535-0307","1313-5031",0,1,0,0,0,0,0,1,0,0,0,0,"Trans & Motauto.","ROAD"
"2536-4421","2536-4421",0,1,0,0,0,0,0,1,0,0,0,0,"Online journal of music sciences.","ROAD"
"2537-141X","2537-141X",1,0,0,0,0,0,1,0,0,0,0,0,"Journal of Smart Economic Growth","DOAJ"
"2537-3137","2065-2720",0,1,0,0,0,0,0,1,0,0,0,0,"The Annals of ""Valahia"" University of Târgovişte","ROAD"
"2537-608X","2537-608X",0,1,0,0,0,0,0,1,0,0,0,0,"UN in Moldova.","ROAD"
"2537-6144","1857-016X",0,1,0,0,0,0,0,1,0,0,0,0,"Revista Arheologică.","ROAD"
"2537-6330","1857-0240",1,1,0,0,0,0,1,1,0,0,0,0,"Tyragetia","DOAJ"
"2538-2012","2538-2012",0,1,0,0,0,0,0,1,0,0,0,0,"Pizhūhish/nāmah-i ma̒ārif-i Qur̓ānī.","ROAD"
"2538-2489","2423-7361",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of optoelectronical nanostructures.","ROAD"
"2538-2632","2538-2373",0,1,0,0,0,0,0,1,0,0,0,0,"Muṭāli̒āt-i farhang- irtibāṭāt.","ROAD"
"2538-2950","2538-2942",0,1,0,0,0,0,0,1,0,0,0,0,"Muṭāli̒āt-i ravānshinākhtī.","ROAD"
"2538-3051","2008-7799",0,1,0,0,0,0,0,1,0,0,0,0,"Majallah-i muhandisī-i barq-i dānishgāh-i Tabrīz.","ROAD"
"2538-4945","2538-4945",0,1,0,0,0,0,0,1,0,0,0,0,"Mutāl̒i̒āt-i fiqhī va falsafī.","ROAD"
"2538-5399","2538-3248",0,1,0,0,0,0,0,1,0,0,0,0,"Journal of safety, environment, and health research.","ROAD"
"2538-595X","2538-595X",0,1,0,0,0,0,0,1,0,0,0,0,"Muṭāli̒āt-i barnāmah/rīzī-i sukūnatgāh/hā-yi insānī.","ROAD"
"2538-7189","2345-0193",0,1,0,0,0,0,0,1,0,0,0,0,"Baltic journal of career education and management.","ROAD"
"2540-7759","0853-9510",1,0,0,0,0,0,1,0,0,0,0,0,"Kalam","DOAJ"
"2540-8232","1829-8257",1,0,0,0,0,0,1,0,0,0,0,0,"Jurnal Studi Agama dan Masyarakat","DOAJ"
"2541-4127","2085-3696",1,0,0,0,0,0,1,0,0,0,0,0,"Islamiconomic: Jurnal Ekonomi Islam","DOAJ"
"2542-0968","1991-010X",1,0,0,0,0,0,1,0,0,0,0,0,"Matʹ i ditâ v Kuzbasse","DOAJ"
"2542-2987","2542-2987",0,1,0,0,0,0,0,1,0,0,0,0,"Revista Scientific.","ROAD"
"2548-6020","0215-9996",1,0,0,0,0,0,1,0,0,0,0,0,"Attarbiyah: Journal of Islamic Culture and Education","DOAJ"
"2549-3108","2252-4983",1,0,0,0,0,0,1,0,0,0,0,0,"Simetris: Jurnal Teknik Mesin, Elektro dan Ilmu Komputer","DOAJ"
"2549-6697","1829-930X",1,0,0,0,0,0,1,0,0,0,0,0,"Imajinasi","DOAJ"
"2550-8180","2550-8180",0,1,0,0,0,0,0,1,0,0,0,0,"Fotota.","ROAD"
"2550-9381","2550-9381",0,1,0,0,0,0,0,1,0,0,0,0,"Prisonniers de guerre.","ROAD"
"2551-0398","2551-0398",0,1,0,0,0,0,0,1,0,0,0,0,"Identités et religions.","ROAD"
"2551-2390","2551-2390",0,1,0,0,0,0,0,1,0,0,0,0,"Les Carnets de SSS.","ROAD"
"2551-2579","2551-2579",0,1,0,0,0,0,0,1,0,0,0,0,"Terrils.","ROAD"
"2551-2854","2551-2854",0,1,0,0,0,0,0,1,0,0,0,0,"Fonds Dubois.","ROAD"
"2551-3761","2551-3761",0,1,0,0,0,0,0,1,0,0,0,0,"Cahier Louis-Lumière.","ROAD"
"2551-4555","2551-4555",0,1,0,0,0,0,0,1,0,0,0,0,"Acoustique musicale.","ROAD"
"2551-4628","2551-4628",0,1,0,0,0,0,0,1,0,0,0,0,"ANR Colostrum.","ROAD"
"2551-4660","2551-4660",0,1,0,0,0,0,0,1,0,0,0,0,"Dynamiques citoyennes en Europe.","ROAD"
"2551-5039","2551-5039",0,1,0,0,0,0,0,1,0,0,0,0,"Comment commencer ?.","ROAD"
"2551-5101","2551-5101",0,1,0,0,0,0,0,1,0,0,0,0,"Ouest.","ROAD"
"2551-5144","2551-5144",0,1,0,0,0,0,0,1,0,0,0,0,"Communautarismes dé/construits.","ROAD"
"2551-5187","2551-5187",0,1,0,0,0,0,0,1,0,0,0,0,"Société Diderot.","ROAD"
"2551-5217","2551-5217",0,1,0,0,0,0,0,1,0,0,0,0,"Interculturalités.","ROAD"
"2551-5896","2551-5896",0,1,0,0,0,0,0,1,0,0,0,0,"Revue d'études décoloniales.","ROAD"
"2551-6191","2551-6191",0,1,0,0,0,0,0,1,0,0,0,0,"Histoire du handicap dans l'Europe médiévale.","ROAD"
"2551-749X","2551-749X",0,1,0,0,0,0,0,1,0,0,0,0,"Penser/compter.","ROAD"
"2551-7503","2551-7503",0,1,0,0,0,0,0,1,0,0,0,0,"Damoclès for ever.","ROAD"
"2551-7589","2551-7589",0,1,0,0,0,0,0,1,0,0,0,0,"Le Néolithique de la région des marais de Saint-Gond.","ROAD"
"2551-7694","2551-7694",0,1,0,0,0,0,0,1,0,0,0,0,"Phéniciens et Puniques à Ibiza.","ROAD"
"2551-8100","2551-8100",0,1,0,0,0,0,0,1,0,0,0,0,"Séminaire RPS du LEST.","ROAD"
"2551-8135","2551-8135",0,1,0,0,0,0,0,1,0,0,0,0,"Enseigner l'arabe.","ROAD"
"2551-8399","2551-8399",0,1,0,0,0,0,0,1,0,0,0,0,"A19.","ROAD"
"2551-9948","2551-9948",0,1,0,0,0,0,0,1,0,0,0,0,"SecuPolXX.","ROAD"
"2552-0539","2552-0539",0,1,0,0,0,0,0,1,0,0,0,0,"Negociating difference.","ROAD"
"2552-0652","2552-0652",0,1,0,0,0,0,0,1,0,0,0,0,"Collectif Ascidiacea.","ROAD"
"2552-1551","2552-1551",0,1,0,0,0,0,0,1,0,0,0,0,"Carnet des études urbaines.","ROAD"
"2552-1616","2552-1616",0,1,0,0,0,0,0,1,0,0,0,0,"La Ville juste.","ROAD"
"2552-2329","2552-2329",0,1,0,0,0,0,0,1,0,0,0,0,"Recherches en géomatique.","ROAD"
"2552-3104","2552-3104",0,1,0,0,0,0,0,1,0,0,0,0,"SIRL project.","ROAD"
"2552-352X","2552-352X",0,1,0,0,0,0,0,1,0,0,0,0,"Laboratoire Jeux et mondes virtuels.","ROAD"
"2552-3554","2552-3554",0,1,0,0,0,0,0,1,0,0,0,0,"Hyperthese.","ROAD"
"2552-3589","2552-3589",0,1,0,0,0,0,0,1,0,0,0,0,"À travers champs.","ROAD"
"2552-3651","2552-3651",0,1,0,0,0,0,0,1,0,0,0,0,"Recherches canadiennes.","ROAD"
"2552-3708","2552-3708",0,1,0,0,0,0,0,1,0,0,0,0,"HETS.","ROAD"
"2552-4968","2552-4968",0,1,0,0,0,0,0,1,0,0,0,0,"Mémo numérique(s).","ROAD"
"2552-5115","2552-5115",0,1,0,0,0,0,0,1,0,0,0,0,"Pour l'honneur de la ville.","ROAD"
"2552-559X","2552-559X",0,1,0,0,0,0,0,1,0,0,0,0,"Jeu comme outil psychométrique.","ROAD"
"2552-5867","2552-5867",0,1,0,0,0,0,0,1,0,0,0,0,"Dialogues avec le Japon.","ROAD"
"2552-6553","2552-6553",0,1,0,0,0,0,0,1,0,0,0,0,"Associazione amici di Memoria e Ricerca.","ROAD"
"2552-7665","2552-7665",0,1,0,0,0,0,0,1,0,0,0,0,"L'Entre-deux.","ROAD"
"2552-7843","2552-7843",0,1,0,0,0,0,0,1,0,0,0,0,"BAnDITI.","ROAD"
"2553-0712","2553-0712",0,1,0,0,0,0,0,1,0,0,0,0,"JCEA.","ROAD"
"2553-0739","2553-0739",0,1,0,0,0,0,0,1,0,0,0,0,"L'Image de Lyon.","ROAD"
"2553-0836","2553-0836",0,1,0,0,0,0,0,1,0,0,0,0,"GREMA.","ROAD"
"2558-815X","1584-9244",0,1,0,0,0,0,0,1,0,0,0,1,"Archives of the Balkan Medical Union.","ROAD"
"2559-4524","2537-5997",1,0,0,0,0,0,1,0,0,0,0,0,"Creativity and Innovation Journal","DOAJ"
"2560-3051","0547-3330",1,0,0,0,0,0,1,0,0,0,0,0,"Nastava i Vaspitanje","DOAJ"
"2560-3086","0040-2176",1,0,0,0,0,0,1,0,0,0,0,0,"Tehnika","DOAJ"
"2560-3132","1820-7480",1,0,0,0,0,0,1,0,0,0,0,0,"Reciklaža i Održivi Razvoj","DOAJ"
"2560-3310","0350-8773",1,0,0,0,0,0,1,0,0,0,0,0,"Praxis Medica","DOAJ"
"2560-3337","0354-2904",1,0,0,0,0,0,1,0,0,0,0,0,"Podzemni Radovi","DOAJ"
"2560-3353","2217-9739",1,0,0,0,0,0,1,0,0,0,0,0,"International Review","DOAJ"
"2564-6761","2564-6761",0,1,0,0,0,0,0,1,0,0,0,0,"Geomatik.","ROAD"
"2566-2872","2566-2872",0,1,0,0,0,0,0,1,0,0,0,0,"International tourism and hospitality managment conference.","ROAD"
"2579-3497","1907-6223",1,0,0,0,0,0,1,0,0,0,0,0,"Multitek Indonesia","DOAJ"
"2587-3202","1857-0003",0,1,0,0,0,0,0,1,0,0,0,0,"Ştiinţa Agricolă (Online)","ROAD"
"2587-3229","2587-3210",0,1,0,0,0,0,0,1,0,0,0,0,"Moldavian Journal of Pediatric Surgery.","ROAD"
"8755-6839","8755-6839",1,1,0,0,0,1,1,1,0,0,0,1,"Science of Tsunami Hazards","DOAJ"
"2494-3312","2494-3312",0,1,0,0,0,0,0,1,0,0,0,0,"Circé.","ROAD"
"2494-4181","2494-4181",0,1,0,0,0,0,0,1,0,0,0,0,"Proust et le roman moderne.","ROAD"
"2494-7482","2494-7482",0,1,0,0,0,0,0,1,0,0,0,0,"Internet et territoire.","ROAD"
"2494-7717","2494-7717",0,1,0,0,0,0,0,1,0,0,0,0,"Master Europhilosophie.","ROAD"
"2495-8220","2495-8220",0,1,0,0,0,0,0,1,0,0,0,0,"Réseau Migrations.","ROAD"
"1287-6658","1287-6658",0,1,0,0,0,0,0,1,0,0,0,0,"Atala.","ROAD"
"2496-946X","2496-946X",0,1,0,0,0,0,0,1,0,0,0,0,"BiogrAfrique.","ROAD"
"2497-1979","2497-1979",0,1,0,0,0,0,0,1,0,0,0,0,"Chance & finance.","ROAD"
"2497-3092","2497-3092",0,1,0,0,0,0,0,1,0,0,0,0,"Programme Lascaux.","ROAD"
"2497-3157","2497-3157",0,1,0,0,0,0,0,1,0,0,0,0,"Mondes normands médiévaux.","ROAD"
"2497-3475","2497-3475",0,1,0,0,0,0,0,1,0,0,0,0,"Pôle Proust.","ROAD"
"2497-5958","2497-5958",0,1,0,0,0,0,0,1,0,0,0,0,"Get your game on!.","ROAD"
"2497-6024","2497-6024",0,1,0,0,0,0,0,1,0,0,0,0,"Techniques mixtes.","ROAD"
"2497-6105","2497-6105",0,1,0,0,0,0,0,1,0,0,0,0,"Biolographes.","ROAD"
"2498-017X","2498-017X",0,1,0,0,0,0,0,1,0,0,0,0,"R.TeMiS.","ROAD"
"2498-2415","2498-2415",0,1,0,0,0,0,0,1,0,0,0,0,"eVEGF-immuno actu.","ROAD"
"2498-6070","2498-6062",0,1,0,0,0,0,0,1,0,0,0,0,"Eljárásjogi szemle","ROAD"
"2499-9636","2499-9636",0,1,0,0,0,0,0,1,0,0,0,0,"Oeconomia et jus.","ROAD"
"2500-2295","2500-2287",0,1,0,0,0,0,0,1,0,0,0,0,"Opera medica et physiologica.","ROAD"
"2502-2962","2502-2962",0,1,0,0,0,0,0,1,0,0,0,0,"Biopropal industri.","ROAD"
"0100-3674","0100-3674",1,0,0,0,0,0,1,0,0,0,0,0,"Revista do Instituto de Latícinios Cândido Tostes","DOAJ"
"0100-4042","0100-4042",1,1,0,0,1,1,1,1,0,0,1,1,"Química Nova","DOAJ"
"0100-4239","0100-4239",0,1,0,0,0,0,0,1,0,0,0,0,"Boletim do Instituto Paulista de Oceanografia.","ROAD"
"0100-6991","0100-6991",1,1,0,0,0,1,1,1,0,0,0,1,"Revista do Colégio Brasileiro de Cirurgiões","DOAJ"
"0100-8358","0100-8358",1,1,0,0,1,1,1,1,0,0,1,1,"Planta Daninha","DOAJ"
"0101-1812","0101-1812",1,1,0,0,0,0,1,1,0,0,0,0,"Signo","DOAJ"
"0101-2061","0101-2061",1,1,0,1,1,1,1,1,0,1,1,1,"Food Science and Technology","DOAJ"
"0101-3130","0101-3130",1,1,0,0,0,0,1,1,0,0,0,0,"Estudos Teológicos","DOAJ"
"0102-9800","0102-9800",0,1,0,0,0,0,0,1,0,0,0,0,"Geochimica Brasiliensis.","ROAD"
"0103-0000","0103-0000",1,0,0,0,0,0,1,0,0,0,0,0,"Cadernos de Educação Especial","DOAJ"
"0103-0663","0103-0663",1,1,0,0,0,0,1,1,0,0,0,0,"Revista de Odontologia da Universidade de São Paulo","DOAJ"
"0103-1643","0103-1643",1,1,0,0,0,0,1,1,0,0,0,0,"Biotemas","DOAJ"
"0103-166X","0103-166X",1,1,0,0,0,1,1,1,0,0,0,1,"Estudos de Psicologia (Campinas)","DOAJ"
"0103-2178","0103-2178",1,1,0,0,0,0,1,1,0,0,0,0,"Caligrama: Revista de Estudos Românicos","DOAJ"
"0103-2186","0103-2186",1,1,0,0,0,1,1,1,0,0,0,1,"Estudos Históricos","DOAJ"
"0103-3131","0103-3131",0,1,0,0,0,1,0,1,0,0,0,1,"Revista Brasileira de Fisiologia Vegetal.","ROAD"
"0103-4014","0103-4014",1,1,0,0,0,1,1,1,0,0,0,1,"Estudos Avançados","DOAJ"
"0103-4235","0103-4235",1,1,0,0,0,0,1,1,0,0,0,0,"Alimentos e Nutrição ","DOAJ"
"0103-507X","0103-507X",1,1,1,0,0,1,1,1,1,0,0,1,"Revista Brasileira de Terapia Intensiva ","DOAJ"
"0103-5371","0103-5371",1,1,0,0,0,0,1,1,0,0,0,0,"Psico","DOAJ"
"0103-5665","0103-5665",0,1,0,0,0,1,0,1,0,0,0,1,"Psicologia clínica.","ROAD"
"0103-6513","0103-6513",1,1,0,0,0,1,1,1,0,0,0,1,"Production","DOAJ"
"0103-6564","0103-6564",1,1,0,0,0,1,1,1,0,0,0,1,"Psicologia USP ","DOAJ"
"0103-7250","0103-7250",1,1,0,0,0,0,1,1,0,0,0,0,"Signótica","DOAJ"
"0103-7331","0103-7331",1,1,0,0,0,1,1,1,0,0,0,1,"Physis","DOAJ"
"0103-801X","0103-801X",1,0,0,0,0,0,1,0,0,0,0,0,"Estudos de Religião","DOAJ"
"0103-863X","0103-863X",1,1,0,0,0,1,1,1,0,0,0,1,"Paidéia (Ribeirão Preto)","DOAJ"
